date,tournament,winner,loser,b365w,b365l,b365w_prob_norm,elo_implied_prob,elo_minus_market
2025-11-09,Masters Cup,Alcaraz C.,De Minaur A.,1.17,5.0,0.8103727714748785,0.7083363008570586,-0.10203647061781995
2025-11-09,Masters Cup,Zverev A.,Shelton B.,1.53,2.5,0.6203473945409429,0.7311337374858935,0.1107863429449506
2025-11-10,Masters Cup,Fritz T.,Musetti L.,1.4,3.0,0.6818181818181818,0.720406034193571,0.0385878523753892
2025-11-10,Masters Cup,Sinner J.,Auger-Aliassime F.,1.06,10.0,0.9041591320072333,0.8841818448666419,-0.019977287140591438
2025-11-11,Masters Cup,Alcaraz C.,Fritz T.,1.2,4.5,0.7894736842105263,0.5568099085624162,-0.23266377564811014
2025-11-11,Masters Cup,Musetti L.,De Minaur A.,3.2,1.36,0.2982456140350877,0.4286443960946949,0.1303987820596072
2025-11-12,Masters Cup,Auger-Aliassime F.,Shelton B.,2.2,1.67,0.43152454780361754,0.5340796883637352,0.10255514056011766
2025-11-12,Masters Cup,Sinner J.,Zverev A.,1.1,7.0,0.8641975308641975,0.7629261522582537,-0.10127137860594382
2025-11-13,Masters Cup,De Minaur A.,Fritz T.,3.2,1.36,0.2982456140350877,0.3409435133972291,0.04269789936214141
2025-11-13,Masters Cup,Alcaraz C.,Musetti L.,1.13,6.0,0.8415147265077139,0.7639938160190944,-0.07752091048861942
2025-11-14,Masters Cup,Sinner J.,Shelton B.,1.05,10.0,0.9049773755656108,0.8974467727057139,-0.007530602859896818
2025-11-14,Masters Cup,Auger-Aliassime F.,Zverev A.,1.2,4.5,0.7894736842105263,0.2965352101592075,-0.49293847405131885
2025-11-15,Masters Cup,Sinner J.,De Minaur A.,1.05,10.0,0.9049773755656108,0.8609373097894993,-0.044040065776111414
2025-11-15,Masters Cup,Alcaraz C.,Auger-Aliassime F.,1.2,4.5,0.7894736842105263,0.7496717004869062,-0.039801983723620094
2025-11-16,Masters Cup,Sinner J.,Alcaraz C.,1.5,2.63,0.6368038740920097,0.7182463061584977,0.08144243206648805
